key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
310,January,Economy,UK,UK,180.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
311,January,Economy,UK,EEA,95.43,EASYJET,Crime & Policing Group
312,January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group
313,January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group
314,January,Economy,UK,UK,182.43,BRITISH AIRWAYS,HROD
315,January,Economy,UK,UK,109.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
316,February,Economy,UK,UK,79.5,BRITISH AIRWAYS,OSCT
317,January,Economy,UK,UK,198.55,BRITISH AIRWAYS,OSCT
318,January,Business Class,UK,UK,191.55,BRITISH AIRWAYS,Science & Research Group
319,January,Economy,UK,UK,124.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
320,January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group
321,January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
322,January,Economy,UK,EEA,518.13,LUFTHANSA GERMAN AIRLINES,Science & Research Group
323,February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD
324,January,Economy,UK,UK,180.48,LUFTHANSA GERMAN AIRLINES,Immigration Group
325,January,Economy,UK,UK,173.5,BMI,Strategic Director Border
326,January,Economy,UK,EEA,285.2,BRITISH AIRWAYS,Crime & Policing Group
327,January,Economy,UK,UK,158.01,FLYBE BRITISH EUROPEAN,Immigration Group
328,February,Economy,UK,UK,176.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
329,January,Economy,UK,UK,221.5,BRITISH AIRWAYS,Science & Research Group
330,January,Economy,UK,EEA,295.27,LOT-POLISH AIRLINES,Strategic Director Border
331,January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Finance & Commercial Group
332,January,Economy,UK,UK,135.85,BRITISH AIRWAYS,Criminal & Detention Group
333,January,Economy,UK,Non EEA,236.41,ROYAL AIR MAROC,International Group
334,January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Immigration Group
335,January,Economy,UK,EEA,285.6,BRITISH AIRWAYS,Immigration Group
336,January,Economy,UK,UK,80.03,EASYJET,Science & Research Group
337,January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA
338,January,Economy,UK,UK,257.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
339,January,Economy,UK,EEA,535.4,BMI,Policy & Strategy
340,January,Economy,UK,UK,202.1,BMI,Strategy & Reform Directorate
341,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
342,January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Immigration Group
343,January,Economy,UK,UK,119.35,BRITISH AIRWAYS,HROD
344,January,Economy,UK,UK,198.55,BRITISH AIRWAYS,OSCT
345,March,Premium Economy,UK,Non EEA,622.67,VIRGIN ATLANTIC,Strategy & Reform Directorate
346,January,Economy,UK,UK,103.2,FLYBE BRITISH EUROPEAN,Science & Research Group
347,January,Economy,UK,UK,48.74,EASYJET,Strategic Director Border
348,January,Economy,UK,UK,119.69,BRITISH AIRWAYS,Immigration Group
349,January,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group
350,January,Economy,UK,UK,109.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
351,January,Economy,UK,EEA,285.6,BRITISH AIRWAYS,Immigration Group
352,January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,HROD
353,January,Economy,UK,UK,75.85,BRITISH AIRWAYS,Immigration Group
354,January,Economy,UK,UK,67.85,BRITISH AIRWAYS,Immigration Group
355,January,Economy,UK,UK,67.85,BRITISH AIRWAYS,Immigration Group
356,January,Economy,UK,UK,205.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
357,January,Business Class,UK,Non EEA,2609.47,VIRGIN ATLANTIC,OSCT
358,February,Economy,UK,UK,56.4,BMI,Strategic Director Border
359,January,Economy,UK,UK,189.51,FLYBE BRITISH EUROPEAN,Immigration Group
360,January,Economy,UK,Non EEA,282.6,BRITISH AIRWAYS,Policy & Strategy
